"","Time","Force 1","Force 2","Angle","Velocity","Acceleration","Force1","Force2","Ratio","Torque","Length","Spin","Mass","V_bin"
"3635","2.54","8.24145299145","-6.06708310026","1.16937059884",0,"-1.14469896929",8.24145299145,-6.06708310026,-1.358388018634,1.0542054557097,"30cm","spin","100g",0
"3636","2.56","8.30128205128","-6.12805846497","1.16937059884",-0.0242406840555,"-2.99641789019",8.30128205128,-6.12805846497,-1.35463493025285,1.0613505537429,"30cm","spin","100g",0
"3637","2.58","8.27136752137","-6.09757078262","1.16937059884",-0.0969627362219,"-5.31948344551",8.27136752137,-6.09757078262,-1.35650209177497,1.0577780047269,"30cm","spin","100g",-0.1
"3638","2.6","8.36111111111","-6.12805846497","1.16937059884",-0.315128892721,"-4.24211970971",8.36111111111,-6.12805846497,-1.36439806488546,1.0703249127174,"30cm","spin","100g",-0.3
"3639","2.62","8.3311965812","-6.15854614733","1.15191730632",-0.339369576777,"-0.134670466975",8.3311965812,-6.15854614733,-1.35278625537489,1.0649231027601,"30cm","spin","100g",-0.3
"3640","2.64","8.51068376068","-6.34147224147","1.15191730632",-0.193925472444,"-1.17836658603",8.51068376068,-6.34147224147,-1.34206749420497,1.0863583968579,"30cm","spin","100g",-0.2
"3641","2.66","8.57051282051","-6.43293528854","1.15191730632",-0.363610260832,"-3.29942644088",8.57051282051,-6.43293528854,-1.33228649692435,1.0925888644203,"30cm","spin","100g",-0.4
"3642","2.68","8.72008547009","-6.55488601796","1.1344640138",-0.412091628943,"-2.05372462137",8.72008547009,-6.55488601796,-1.33031839854995,1.1113662399747,"30cm","spin","100g",-0.4
"3643","2.7","8.86965811966","-6.7378121121","1.1344640138",-0.436332312999,"-0.976360885568",8.86965811966,-6.7378121121,-1.31640033472165,1.128314354586,"30cm","spin","100g",-0.4
"3644","2.72","8.9594017094","-6.76829979446","1.11701072128",-0.436332312999,"-0.437679017668",8.9594017094,-6.76829979446,-1.32373003287081,1.1408612625762,"30cm","spin","100g",-0.4
"3645","2.74","8.89957264957","-6.79878747682","1.11701072128",-0.436332312999,"-1.21203420277",8.89957264957,-6.79878747682,-1.30899409341923,1.1309722731309,"30cm","spin","100g",-0.4
"3646","2.76","8.69017094017","-6.64634906503","1.09955742876",-0.460572997054,"-3.19842359065",8.69017094017,-6.64634906503,-1.30751046253253,1.1041351690746,"30cm","spin","100g",-0.5
"3647","2.78","8.60042735043","-6.61586138268","1.09955742876",-0.53329504922,"-6.26217671433",8.60042735043,-6.61586138268,-1.29997091126267,1.0915882610841,"30cm","spin","100g",-0.5
"3648","2.8","8.63034188034","-6.67683674739","1.08210413624",-0.775701889775,"-6.26217671433",8.63034188034,-6.67683674739,-1.29257943646947,1.0942461796293,"30cm","spin","100g",-0.8
"3649","2.82","8.66025641026","-6.70732442975","1.06465084372",-0.848423941942,"-3.19842359065",8.66025641026,-6.70732442975,-1.29116408501844,1.0978187286465,"30cm","spin","100g",-0.8
"3650","2.84","8.69017094017","-6.76829979446","1.0471975512",-0.872664625997,"-1.17836658603",8.69017094017,-6.76829979446,-1.28395183488815,1.1004766471917,"30cm","spin","100g",-0.9
"3651","2.86","8.72008547009","-6.79878747682","1.02974425868",-0.872664625997,"-0.235673317206",8.72008547009,-6.79878747682,-1.28259421254459,1.1040491962089,"30cm","spin","100g",-0.9
"3652","2.88","8.92948717949","-6.89025052389","1.01229096616",-0.872664625997,"-0.0336676167438",8.92948717949,-6.89025052389,-1.29595972577913,1.1327155612068,"30cm","spin","100g",-0.9
"3653","2.9","9.07905982906","-7.07317661802","0.994837673637",-0.872664625997,"-3.54654577311E-14",9.07905982906,-7.07317661802,-1.28359014900458,1.1496636758184,"30cm","spin","100g",-0.9
"3654","2.92","9.07905982906","-7.04268893567","0.977384381117",-0.872664625997,"-6.7846962616E-15",9.07905982906,-7.04268893567,-1.28914678924354,1.1505783062889,"30cm","spin","100g",-0.9
"3655","2.94","9.07905982906","-7.07317661802","0.959931088597",-0.872664625997,"-0.0336676167437",9.07905982906,-7.07317661802,-1.28359014900458,1.1496636758184,"30cm","spin","100g",-0.9
"3656","2.96","9.04914529915","-7.07317661802","0.942477796077",-0.872664625997,"-0.235673317206",9.04914529915,-7.07317661802,-1.27936085691624,1.1451764963319,"30cm","spin","100g",-0.9
"3657","2.98","9.13888888889","-7.10366430038","0.925024503557",-0.872664625997,"-1.14469896929",9.13888888889,-7.10366430038,-1.28650348643321,1.1577234043221,"30cm","spin","100g",-0.9
"3658","3","9.07905982906","-7.10366430038","0.907571211037",-0.896905310053,"-2.96275027345",9.07905982906,-7.10366430038,-1.27808120501617,1.1487490453476,"30cm","spin","100g",-0.9
"3659","3.02","8.89957264957","-7.01220125331","0.890117918517",-0.969627362219,"-5.11747774505",8.89957264957,-7.01220125331,-1.26915533768645,1.1245698598362,"30cm","spin","100g",-1
"3660","3.04","8.80982905983","-7.01220125331","0.872664625997",-1.18779351872,"-3.29942644088",8.80982905983,-7.01220125331,-1.25635713260104,1.1111083213752,"30cm","spin","100g",-1.2
"3661","3.06","8.89957264957","-7.16463966509","0.837758040957",-1.18779351872,"1.91905415439",8.89957264957,-7.16463966509,-1.24215216194801,1.1199967074828,"30cm","spin","100g",-1.2
"3662","3.08","9.13888888889","-7.34756575923","0.820304748437",-0.993868046275,"2.12105985485",9.13888888889,-7.34756575923,-1.24379817593463,1.1504063605566,"30cm","spin","100g",-1
"3663","3.1","9.25854700855","-7.4390288063","0.802851455917",-0.993868046275,"-2.1547274716",9.25854700855,-7.4390288063,-1.24459082625263,1.1656111870935,"30cm","spin","100g",-1
"3664","3.12","9.19871794872","-7.37805344159","0.785398163397",-1.18779351872,"-2.1547274716",9.19871794872,-7.37805344159,-1.24676759548351,1.1584660890603,"30cm","spin","100g",-1.2
"3665","3.14","9.13888888889","-7.25610271216","0.750491578358",-1.18779351872,"2.1547274716",9.13888888889,-7.25610271216,-1.25947623006697,1.1531502519687,"30cm","spin","100g",-1.2
"3666","3.16","9.13888888889","-7.34756575923","0.733038285838",-0.993868046275,"2.12105985485",9.13888888889,-7.34756575923,-1.24379817593463,1.1504063605566,"30cm","spin","100g",-1
"3667","3.18","9.28846153846","-7.37805344159","0.715584993318",-0.993868046275,"-2.35673317206",9.28846153846,-7.37805344159,-1.25893118178042,1.1719276275213,"30cm","spin","100g",-1
"3668","3.2","9.34829059829","-7.40854112395","0.698131700798",-1.18779351872,"-3.06375312368",9.34829059829,-7.40854112395,-1.26182610609655,1.179987356025,"30cm","spin","100g",-1.2
"3669","3.22","9.25854700855","-7.28659039452","0.663225115758",-1.21203420277,"0.303008550693",9.25854700855,-7.28659039452,-1.27062816863056,1.1701843394469,"30cm","spin","100g",-1.2
"3670","3.24","9.19871794872","-7.19512734745","0.645771823238",-1.06659009844,"-0.202005700462",9.19871794872,-7.19512734745,-1.2784649255694,1.1639538718845,"30cm","spin","100g",-1.1
"3671","3.26","9.19871794872","-7.22561502981","0.628318530718",-1.21203420277,"-1.24570181952",9.19871794872,-7.22561502981,-1.27307058440974,1.1630392414137,"30cm","spin","100g",-1.2
"3672","3.28","9.25854700855","-7.22561502981","0.593411945678",-1.21203420277,"1.24570181952",9.25854700855,-7.22561502981,-1.28135071829221,1.1720136003882,"30cm","spin","100g",-1.2
"3673","3.3","9.22863247863","-7.22561502981","0.575958653158",-1.06659009844,"0.202005700462",9.22863247863,-7.22561502981,-1.27721065135028,1.1675264209002,"30cm","spin","100g",-1.1
"3674","3.32","9.1688034188","-7.19512734745","0.558505360638",-1.21203420277,"-0.303008550693",9.1688034188,-7.19512734745,-1.27430731605459,1.1594666923965,"30cm","spin","100g",-1.2
"3675","3.34","9.22863247863","-7.16463966509","0.523598775598",-1.18779351872,"3.06375312368",9.22863247863,-7.16463966509,-1.28808047717974,1.1693556818418,"30cm","spin","100g",-1.2
"3676","3.36","9.28846153846","-7.19512734745","0.506145483078",-0.993868046275,"2.35673317206",9.28846153846,-7.19512734745,-1.29093775411104,1.1774154103455,"30cm","spin","100g",-1
"3677","3.38","9.28846153846","-7.13415198274","0.488692190558",-0.993868046275,"-2.12105985485",9.28846153846,-7.13415198274,-1.30197135706276,1.1792446712868,"30cm","spin","100g",-1
"3678","3.4","9.22863247863","-7.01220125331","0.471238898038",-1.18779351872,"-2.1547274716",9.22863247863,-7.01220125331,-1.31608208966817,1.1739288341952,"30cm","spin","100g",-1.2
"3679","3.42","9.19871794872","-6.98171357095","0.436332312999",-1.18779351872,"2.1547274716",9.19871794872,-6.98171357095,-1.31754444739679,1.1703562851795,"30cm","spin","100g",-1.2
